X,Y,Z
3007.9319429991883,5009.818897957914,0
3036.55216301966,5009.797322627157,0
3065.1723832477583,5009.775694737211,0
3093.7926036748686,5009.754014289007,0
3122.412824304076,5009.7322812806815,0
3151.0330451306654,5009.710495714098,0
2321.024925170059,4979.573819746263,0
2349.645084115211,4979.553505629301,0
2378.2652432486066,4979.533138953149,0
2406.8854025576147,4979.512719716877,0
2435.505562067614,4979.492247920483,0
2464.125721763296,4979.471723565832,0
2492.7458816492,4979.451146651991,0
2521.366041723115,4979.430517178029,0
2549.986201978929,4979.409835144877,0
2578.60636243294,4979.389100552537,0
2607.226523077756,4979.368313401006,0
2635.8466839151224,4979.347473689355,0
2664.466844944225,4979.326581418514,0
2693.0870061655296,4979.305636588484,0
2721.7071675678017,4979.284639198333,0
2750.3273291737423,4979.263589249924,0
2778.947490975959,4979.242486739531,0
2807.56765296968,4979.221331672743,0
2836.187815159443,4979.200124044903,0
2864.80797754298,4979.178863857873,0
2893.428140114236,4979.157551111653,0
2922.0483028894523,4979.136185805313,0
2950.668465861236,4979.114767940715,0
2979.288629031449,4979.0932975150645,0
3007.908792399161,4979.071774531156,0
3036.528955954418,4979.050198987126,0
3065.149119717302,4979.028570882976,0
3093.769283679256,4979.006890221499,0
3122.3894478432485,4978.98515699897,0
2321.0031294749933,4948.826700225472,0
2349.6232319543487,4948.806385908276,0
2378.243334621889,4948.786019029096,0
2406.863437465101,4948.7655995916575,0
2435.4835405092454,4948.745127594098,0
2464.103643739189,4948.724603036419,0
2492.723747159238,4948.7040259204805,0
2521.343850767298,4948.683396242559,0
2549.9639545573737,4948.662714005448,0
2578.58405854553,4948.641979208216,0
2607.2041627244907,4948.621191851795,0
2635.8242670960026,4948.60035193339,0
2664.4443716593087,4948.579459456727,0
2693.0644764148165,4948.558514419943,0
2721.6845813512336,4948.537516823039,0
2750.3046864913194,4948.516466666013,0
2778.924791827681,4948.495363948867,0
2807.544897355605,4948.4742086716,0
2836.165003079456,4948.453000834212,0
2864.7851089971373,4948.431740436703,0
2893.405215102597,4948.410427480936,0
2922.0253214119584,4948.389061964117,0
2950.645427917887,4948.367643887177,0
2979.2655346221877,4948.346173250116,0
3007.8856415240443,4948.324650053866,0
3036.5057486134465,4948.303074296564,0
3065.1258559105336,4948.281445980072,0
3093.7459634065744,4948.259765103459,0
3122.3660711047123,4948.238031666726,0
2292.361287694541,4918.099841612391,0
2320.981333520962,4918.079579655081,0
2349.6013795338804,4918.059265136719,0
2378.221425734984,4918.038898058236,0
2406.8414721116424,4918.0184784187,0
2435.4615186893498,4917.998006219044,0
2464.081565452798,4917.977481460199,0
2492.701612406352,4917.95690413937,0
2521.321659547917,4917.936274257489,0
2549.9417068714392,4917.915591815487,0
2578.5617543931585,4917.894856814295,0
2607.181802105624,4917.87406925112,0
2635.801850010641,4917.853229128756,0
2664.4218981073936,4917.832336445339,0
2693.0419463964063,4917.811391201802,0
2721.6619948663283,4917.790393397212,0
2750.282043539919,4917.769343033433,0
2778.902092409786,4917.74824010767,0
2807.522141471156,4917.727084621787,0
2836.142190728511,4917.705876575783,0
2864.762240179698,4917.684615968727,0
2893.3822898186045,4917.663302801549,0
2922.0023396614124,4917.64193707332,0
2950.622389700846,4917.62051878497,0
2979.242439938651,4917.599047936499,0
3007.862490373954,4917.577524526976,0
3036.4825409968034,4917.555948557332,0
3065.102591827337,4917.534320026636,0
3093.722642856883,4917.512638935819,0
3122.3426940884674,4917.490905284882,0
2292.339547948796,4887.352720202878,0
2320.959537308081,4887.332458044402,0
2349.579526853806,4887.312143325806,0
2378.1995165877743,4887.291776046157,0
2406.819506497297,4887.271356205456,0
2435.4394966078107,4887.250883803703,0
2464.059486904124,4887.230358840898,0
2492.679477390542,4887.209781317972,0
2521.299468064913,4887.189151233062,0
2549.9194589213,4887.1684685871005,0
2578.539449975826,4887.147733381018,0
2607.159441221098,4887.126945612952,0
2635.779432658979,4887.106105284765,0
2664.3994242885965,4887.085212394595,0
2693.0194161104155,4887.064266944304,0
2721.639408113144,4887.04326893203,0
2750.259400319541,4887.022218359634,0
2778.879392722214,4887.001115226187,0
2807.4993853164488,4886.979959531687,0
2836.1193781066104,4886.958751276135,0
2864.7393710905453,4886.937490459532,0
2893.359364262258,4886.916177081876,0
2921.9793576379307,4886.894811142236,0
2950.5993512101704,4886.873392643407,0
2979.219344980782,4886.8519215825945,0
3007.839338948892,4886.83039796073,0
3036.459333104547,4886.808821777813,0
3065.079327467829,4886.787193033844,0
3093.699322030181,4886.765511728823,0
2263.6978752366267,4856.625807527453,0
2292.3178079447825,4856.605597730726,0
2320.9377408362343,4856.585335373879,0
2349.5576739141834,4856.565020454116,0
2378.177607180318,4856.544652973302,0
2406.797540622006,4856.524232931435,0
2435.4174742647447,4856.503760326654,0
2464.037408093165,4856.483235161752,0
2492.65734211175,4856.462657434866,0
2521.2772763183457,4856.442027146928,0
2549.8972107068403,4856.421344297007,0
2578.517145293532,4856.400608886033,0
2607.1370800710283,4856.379820913076,0
2635.757015041017,4856.358980378136,0
2664.3769502027426,4856.338087283075,0
2692.996885556728,4856.317141625099,0
2721.616821091622,4856.296143406071,0
2750.236756830185,4856.275092625991,0
2778.8566927649663,4856.253989283927,0
2807.476628891367,4856.23283337988,0
2836.0965652136365,4856.211624915712,0
2864.716501729796,4856.19036388956,0
2893.3364384336164,4856.169050300494,0
2921.956375341397,4856.147684151307,0
2950.5763124458026,4856.126265440136,0
2979.196249748522,4856.104794166982,0
3007.81618724874,4856.083270332776,0
3036.436124936561,4856.061693936586,0
3065.056062832009,4856.040064979345,0
3093.676000926411,4856.018383461051,0
2263.6761914428207,4825.878684205934,0
2292.2960676825023,4825.858474209905,0
2320.915944105538,4825.838211651892,0
2349.5358207149548,4825.817896531895,0
2378.155697512557,4825.797528849915,0
2406.775574485772,4825.777108605951,0
2435.395451659977,4825.756635800004,0
2464.0153290199232,4825.7361104320735,0
2492.635206570034,4825.71553250216,0
2521.255084308097,4825.694902010262,0
2549.874962228117,4825.674218956381,0
2578.4948403462768,4825.653483340517,0
2607.1147186552407,4825.632695162669,0
2635.734597156756,4825.6118544228375,0
2664.3544758500066,4825.590961121023,0
2692.974354735459,4825.570015256293,0
2721.594233801821,4825.549016830511,0
2750.2141130717937,4825.527965841815,0
2778.833992538159,4825.506862292066,0
2807.453872195969,4825.485706179403,0
2836.073752049764,4825.464497504756,0
2864.6936320973327,4825.443236269057,0
2893.313512332621,4825.421922469512,0
2921.933392771927,4825.400556109846,0
2950.5532734077424,4825.3791371863335,0
2979.1731542419293,4825.357665702701,0
3007.793035273615,4825.336141655222,0
3036.4129164928454,4825.314565047622,0
3065.032797919761,4825.292935876176,0
2235.034687809064,4795.151717466302,0
2263.654507391504,4795.131559833884,0
2292.274327162013,4795.111349638552,0
2320.894147115876,4795.091086881235,0
2349.51396725612,4795.070771560073,0
2378.1337875846075,4795.050403676927,0
2406.7536080886493,4795.029983231798,0
2435.3734287936823,4795.009510223754,0
2463.993249684456,4794.988984653726,0
2492.613070765336,4794.968406520784,0
2521.2328920342843,4794.947775823996,0
2549.852713485132,4794.927092566155,0
2578.4725351341185,4794.906356746331,0
2607.092356973852,4794.885568363592,0
2635.7121790061938,4794.864727417007,0
2664.332001230272,4794.843833908439,0
2692.9518236464937,4794.822887837887,0
2721.571646243683,4794.801889203489,0
2750.191469044541,4794.780838008039,0
2778.811292041617,4794.759734248743,0
2807.4311152302544,4794.738577928394,0
2836.050938614877,4794.7173690442,0
2864.6707621932146,4794.696107598022,0
2893.29058595933,4794.67479358986,0
2921.910409929405,4794.653427017853,0
2950.5302340959897,4794.632007883862,0
2979.150058461004,4794.610536187887,0
3007.7698830234585,4794.589011928998,0
3036.3897077735164,4794.567435106263,0
3065.009532731201,4794.545805722475,0
2235.0130599699914,4764.404592242092,0
2263.6328230826184,4764.384434411302,0
2292.2525863833143,4764.364224016666,0
2320.872349867306,4764.3439610581845,0
2349.492113537737,4764.323645537719,0
2378.111877396353,4764.303277454339,0
2406.7316414305824,4764.282856807113,0
2435.3514056658023,4764.262383596972,0
2463.9711700867047,4764.2418578229845,0
2492.5909346977714,4764.221279487014,0
2521.210699496849,4764.200648588128,0
2549.830464477825,4764.179965125397,0
2578.450229656999,4764.159229100682,0
2607.069995026861,4764.138440512121,0
2635.689760589332,4764.117599360645,0
2664.309526343539,4764.096705646254,0
2692.929292289948,4764.075759368017,0
2721.5490584172658,4764.054760527797,0
2750.1688247482525,4764.033709123731,0
2778.7885912754573,4764.0126051567495,0
2807.4083579942235,4763.991448627785,0
2836.028124908975,4763.970239534043,0
2864.6478920174413,4763.948977877386,0
2893.2676593136857,4763.927663658746,0
2921.8874268138898,4763.906296876259,0
2950.507194510603,4763.884877530858,0
2979.126962405688,4763.863405622542,0
3007.7467304983293,4763.84188115038,0
3036.3664987784578,4763.820304116234,0
2206.3717254259973,4733.677571447566,0
2234.99143187399,4733.65746598132,0
2263.6111385161057,4733.637307950296,0
2292.2308453463484,4733.617097355425,0
2320.8505523598287,4733.59683419764,0
2349.470259559748,4733.576518476941,0
2378.089966947853,4733.556150192395,0
2406.7096745115705,4733.535729343072,0
2435.329382276279,4733.515255931765,0
2463.94909022667,4733.494729955681,0
2492.568798367225,4733.47415141575,0
2521.188506695791,4733.453520312905,0
2549.808215206256,4733.432836647145,0
